sample_id,Rouge rouge1,Rouge rouge2,Rouge rougeL,Rouge rougeLsum,BertScore precision,BertScore recall,BertScore f1,MQAG kl_div,MQAG counting,MQAG hellinger,MQAG total_variation,NLI Score,NLI contradiction %,hallucination_type
38113759,0.33962264150943394,0.15686274509803924,0.22641509433962265,0.22641509433962265,0.8417615294456482,0.8743548393249512,0.8577486276626587,0.4333452197091449,0.6666666666666666,0.18767827598967748,0.272453914474075,0.990379338160805,0.0,['extrinsic']
21405673,0.5365853658536586,0.358974358974359,0.4878048780487805,0.4878048780487805,0.9125924110412598,0.9053195118904114,0.9089414477348328,0.10531044436823682,0.0,0.06037308793013746,0.08065045795713861,0.7213398299170932,0.038834951456310676,['intrinsic']
36086291,0.23255813953488372,0.04878048780487805,0.1395348837209302,0.1395348837209302,0.8446986675262451,0.8356971740722656,0.8401738405227661,0.9773779699234938,1.0,0.34694521239405557,0.4914019765953223,0.6531815017137874,0.01680672268907563,['extrinsic']
26503920,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.7971215844154358,0.8692858219146729,0.8316411375999451,1.076474929138897,0.3333333333333333,0.43669006579154335,0.46977624205950025,0.8987816337922319,0.0,['extrinsic']
34793274,0.41025641025641024,0.1081081081081081,0.30769230769230765,0.30769230769230765,0.9121615290641785,0.8846719264984131,0.8982064127922058,1.1560131249186198,0.3333333333333333,0.29337298286707364,0.31243218791981536,0.7663097854381726,0.0,['extrinsic']
33626398,0.4878048780487805,0.3076923076923077,0.4390243902439024,0.4390243902439024,0.9124962091445923,0.8763708472251892,0.8940687775611877,0.5401059759839993,0.6666666666666666,0.20729699089803122,0.4021737625201543,0.7690894666172209,0.0,['extrinsic']
36066329,0.6875,0.5333333333333333,0.6875,0.6875,0.940000057220459,0.9674585461616516,0.9535316824913025,0.13926110786891974,0.3333333333333333,0.07698269855306612,0.16889722645282745,0.7025037384529909,0.09,['extrinsic']
35864106,0.3111111111111111,0.046511627906976744,0.17777777777777778,0.17777777777777778,0.8554344177246094,0.8515511155128479,0.8534883856773376,0.2140121091753822,0.0,0.09412578030976715,0.2011846055587133,0.7491593752858862,0.013605442176870748,['extrinsic']
37904959,0.2941176470588235,0.125,0.23529411764705882,0.23529411764705882,0.8520071506500244,0.8620120882987976,0.8569803833961487,0.023447750933468195,0.0,0.010068975984289108,0.04085007309913635,0.8106672487877034,0.0,['extrinsic']
37619047,0.4324324324324324,0.34285714285714286,0.4324324324324324,0.4324324324324324,0.8816767334938049,0.8683910965919495,0.8749834299087524,0.8259461143329457,0.3333333333333333,0.16973062857970148,0.27283776535963017,0.8597255270334258,0.010869565217391304,['extrinsic']
39705629,0.22857142857142856,0.0,0.17142857142857143,0.17142857142857143,0.8817352652549744,0.844323992729187,0.8626242280006409,0.9778197052903854,0.0,0.218819737896322,0.3941447138786316,0.9079078701527222,0.0,['intrinsic']
32457391,0.42857142857142855,0.20000000000000004,0.38095238095238093,0.38095238095238093,0.9077141880989075,0.8975793719291687,0.9026183485984802,0.22023698987103635,0.0,0.12534630744358416,0.20826069017251334,0.7833210649944488,0.009523809523809525,['extrinsic']
33928485,0.3414634146341463,0.05128205128205128,0.1951219512195122,0.1951219512195122,0.8862441778182983,0.8789962530136108,0.8826053142547607,0.12936641866463053,0.3333333333333333,0.058211293184881024,0.15593368544553718,0.6312016504375558,0.08421052631578947,['intrinsic']
33517280,0.6285714285714286,0.4848484848484849,0.6285714285714286,0.6285714285714286,0.9679337739944458,0.9409959316253662,0.9542747735977173,0.6598739686292105,0.3333333333333333,0.29290265022482803,0.4285369763771693,0.8570917003439288,0.0,['extrinsic']
36903904,0.32653061224489793,0.0425531914893617,0.28571428571428575,0.28571428571428575,0.8708971738815308,0.8351519703865051,0.8526501059532166,0.8833825097940294,0.3333333333333333,0.42535648680703414,0.5553273418918252,0.6951428104296288,0.007633587786259542,['extrinsic']
